datetime,rented_bike_count,temperature_c,humidity_pct,wind_speed_mps,visibility_10m,solar_radiation_mj_m2,rainfall_mm,snowfall_cm,hour_sin,hour_cos,is_weekend,is_holiday,functioning_day,season_winter,season_spring,season_summer,season_autumn
2017-12-01 00:00:00,254.0,-5.2,37.0,2.2,2000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 01:00:00,204.0,-5.5,38.0,0.8,2000.0,0.0,0.0,0.0,0.25881904,0.9659258,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 02:00:00,173.0,-6.0,39.0,1.0,2000.0,0.0,0.0,0.0,0.5,0.8660254,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 03:00:00,107.0,-6.2,40.0,0.9,2000.0,0.0,0.0,0.0,0.70710677,0.70710677,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 04:00:00,78.0,-6.0,36.0,2.3,2000.0,0.0,0.0,0.0,0.8660254,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 05:00:00,100.0,-6.4,37.0,1.5,2000.0,0.0,0.0,0.0,0.9659258,0.25881904,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 06:00:00,181.0,-6.6,35.0,1.3,2000.0,0.0,0.0,0.0,1.0,6.123234e-17,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 07:00:00,460.0,-7.4,38.0,0.9,2000.0,0.0,0.0,0.0,0.9659258,-0.25881904,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 08:00:00,930.0,-7.6,37.0,1.1,2000.0,0.01,0.0,0.0,0.8660254,-0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 09:00:00,490.0,-6.5,27.0,0.5,1928.0,0.23,0.0,0.0,0.70710677,-0.70710677,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 10:00:00,339.0,-3.5,24.0,1.2,1996.0,0.65,0.0,0.0,0.5,-0.8660254,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 11:00:00,360.0,-0.5,21.0,1.3,1936.0,0.94,0.0,0.0,0.25881904,-0.9659258,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 12:00:00,449.0,1.7,23.0,1.4,2000.0,1.11,0.0,0.0,1.2246469e-16,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 13:00:00,451.0,2.4,25.0,1.6,2000.0,1.16,0.0,0.0,-0.25881904,-0.9659258,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 14:00:00,447.0,3.0,26.0,2.0,2000.0,1.01,0.0,0.0,-0.5,-0.8660254,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 15:00:00,463.0,2.1,36.0,3.2,2000.0,0.54,0.0,0.0,-0.70710677,-0.70710677,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 16:00:00,484.0,1.2,54.0,4.2,793.0,0.24,0.0,0.0,-0.8660254,-0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 17:00:00,555.0,0.8,58.0,1.6,2000.0,0.08,0.0,0.0,-0.9659258,-0.25881904,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2017-12-01 18:00:00,862.0,0.6,66.0,1.4,2000.0,0.0,0.0,0.0,-1.0,-1.8369701e-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0
